go test -benchmem -run=xxx -bench=BenchmarkQueueSinglePacketBlockingDiffNo -timeout 60m
goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos
BenchmarkQueueSinglePacketBlockingDiffNo/Len113-8       	     603	   2035543 ns/op	    5435 B/op	     113 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len114-8       	     613	   2050423 ns/op	    5483 B/op	     114 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len115-8       	     604	   2018607 ns/op	    5543 B/op	     115 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len116-8       	     531	   2054453 ns/op	    5581 B/op	     116 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len117-8       	     625	   2122766 ns/op	    5627 B/op	     117 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len118-8       	     620	   2114666 ns/op	    5675 B/op	     118 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len119-8       	     514	   2114021 ns/op	    5725 B/op	     119 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len120-8       	     604	   2161924 ns/op	    5782 B/op	     120 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len121-8       	     615	   2168152 ns/op	    5819 B/op	     121 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len122-8       	     540	   2155806 ns/op	    5882 B/op	     122 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len123-8       	     543	   2175833 ns/op	    5917 B/op	     123 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len124-8       	     535	   2253116 ns/op	    5965 B/op	     124 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len125-8       	     608	   2241607 ns/op	    6011 B/op	     125 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len126-8       	     518	   2263746 ns/op	    6061 B/op	     126 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len127-8       	     608	   2260022 ns/op	    6108 B/op	     127 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len128-8       	     717	   2299633 ns/op	    6164 B/op	     128 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len129-8       	     526	   2290732 ns/op	    6205 B/op	     129 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len130-8       	     542	   2343596 ns/op	    6267 B/op	     130 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len131-8       	     537	   2384818 ns/op	    6301 B/op	     131 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len132-8       	     531	   2360572 ns/op	    6349 B/op	     132 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len133-8       	     535	   2396266 ns/op	    6396 B/op	     133 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len134-8       	     528	   2392507 ns/op	    6445 B/op	     134 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len135-8       	     535	   2415614 ns/op	    6492 B/op	     135 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len136-8       	     530	   2438262 ns/op	    6555 B/op	     136 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len137-8       	     532	   2479858 ns/op	    6589 B/op	     137 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len138-8       	     536	   2475295 ns/op	    6650 B/op	     138 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len139-8       	     465	   2504250 ns/op	    6687 B/op	     139 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len140-8       	     514	   2523361 ns/op	    6747 B/op	     140 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len141-8       	     536	   2556513 ns/op	    6781 B/op	     141 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len142-8       	     472	   2498613 ns/op	    6831 B/op	     142 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len143-8       	     445	   2516368 ns/op	    6880 B/op	     143 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len144-8       	     438	   2531646 ns/op	    6928 B/op	     144 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len145-8       	     458	   2595501 ns/op	    6987 B/op	     145 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len146-8       	     468	   2587346 ns/op	    7023 B/op	     146 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len147-8       	     456	   2636169 ns/op	    7087 B/op	     147 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len148-8       	     465	   2628982 ns/op	    7119 B/op	     148 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len149-8       	     448	   2621765 ns/op	    7167 B/op	     149 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len150-8       	     441	   2693238 ns/op	    7216 B/op	     150 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len151-8       	     445	   2678250 ns/op	    7263 B/op	     151 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len152-8       	     457	   2725694 ns/op	    7311 B/op	     152 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len153-8       	     459	   2709808 ns/op	    7359 B/op	     153 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len154-8       	     417	   2733320 ns/op	    7409 B/op	     154 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len155-8       	     409	   2752789 ns/op	    7457 B/op	     155 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len156-8       	     448	   2766310 ns/op	    7514 B/op	     156 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len157-8       	     458	   2799825 ns/op	    7551 B/op	     157 allocs/op
